restaurant,review_id,date,stay_date,user,badge,rating,title,review
Kampachi Plaza33,882473936,2023-03-17 00:00:00,March 2023,842anniek,1 review,5,SISTER'S BIRTHDAY,"Good service, nice foods and SAKE. Staff (Chyler) was nice and helpful. My sister is enjoyed her birthday lunch."
Kampachi Plaza33,881881929,2023-03-12 00:00:00,March 2023,Samjianfeng,1 review,5,Dinner,"Great service by the manager and staff name JR, awesome atmosphere and great food quality provided here"
Kampachi Plaza33,881854983,2023-03-12 00:00:00,March 2023,ZeXiangC,3 reviews,5,Excellent food and service,Dined here 3 times for lunch and dinner in the past 6 months. Both the food and service have been consistently top-notch. I'm particularly fond of their sashimi as it has always been fresh and of high quality. The waiters and waitresses are attentive and...
Kampachi Plaza33,881430282,2023-03-08 00:00:00,March 2023,Canny0712,1 review,5,Dinner,Good service. Can find Christy chia to make your reservation 018-3963393. She provide a good service
Kampachi Plaza33,881015302,2023-03-05 00:00:00,March 2023,Kok How T,2 reviews,5,Good food and experience.,"The environment is good and the food is tasty. The waiters and waitresses are very observant plus very hospital. I went with my dad - I truly enjoy the restaurant atmosphere of which we can chat but without getting bog down the ambient noise. 

Christy..."
Kampachi Plaza33,880927012,2023-03-04 00:00:00,March 2023,EllieY321,1 review,5,Great dining experience,We had Matsu Omakase at Kampachi Plaza 33. The service was excellent. Each dish was introduced and given some description. The staff were very attentive and we even got complimentary sake. The food was delightful.
Kampachi Plaza33,880909807,2023-03-04 00:00:00,March 2023,Taffeta_Bentalib,1 review,5,Good food & services,"Excellent services from the crew. All dishes are freshly served and very delicious! We really enjoyed our experience here 🥰

Thanks Jenny, Christy & Chyler 🌟🌟🌟🌟🌟"
Kampachi Plaza33,880652504,2023-03-02 00:00:00,February 2023,summeryin14,1 review,5,Great Experience with great food!,We had a event at Kampachi restaurant .Thank you very much for Jenny help to make our event go smoothly. Delicious food & excellent service.
Kampachi Plaza33,880147378,2023-02-26 00:00:00,February 2023,Toiyeyeyeye,1 review,5,Amazing service and food,"Clean environment, delicious food & excellent service. Fresh sushi and assorted Japanese food. Had a great time"
Kampachi Plaza33,880146486,2023-02-26 00:00:00,February 2023,Adelechua27,1 review,4,Lunch at kampachi,"A great selection of food, fresh and nicely done. The service was courteous and attentive. It was a very satisfying meal."
Kampachi Plaza33,880087194,2023-02-25 00:00:00,February 2023,943tengt,1 review,5,Memorable dinner,"Memorable dinner arranged by Jenny
Lovely table arrangement 
Thanks for her service and effort 
Nice foods and environment"
Kampachi Plaza33,879940134,2023-02-24 00:00:00,February 2023,Yapml,1 review,5,Dinner at Kampachi,The food was excellent with great service especially  by JR who served us throughout our dinner.  Great hospitality and an unexpected surprise birthday dessert 🥳
Kampachi Plaza33,879382586,2023-02-20 00:00:00,February 2023,yvonnebebe,2 reviews,5,A good service by Jenny,"Thank you for providing excellent service! I was impressed with your professionalism, attention to detail, and willingness to go above and beyond to ensure that I had a good experience.

Your prompt response to my inquiries and clear communication throughout the process made me feel..."
Kampachi Plaza33,878903981,2023-02-16 00:00:00,February 2023,JeeKenM,2 reviews,5,An excellent dinner and service by staff.,"I took my folks to enjoy a meal at Kampachi Jaya 33. 
Excellent quality of food, fresh and tasty sashimi, generous portions. Ambience is nice, tables are set far enough apart so one doesn't feel crowded.
We were served by JR who was very patient,..."
Kampachi Plaza33,878653554,2023-02-14 00:00:00,February 2023,Erica_k0812,1 review,5,Valentine’s Day celebration💕,"Overall experience is excellent and the service is very professional and feel privileged 😊
Worth to come again"
Kampachi Plaza33,878460311,2023-02-13 00:00:00,February 2023,JayTokio79,1 review,5,Amazing dining experience,"Arranging dinner for a group of 20 pax is hardly an easy task. Kampachi Plaza 33 was attentive and accommodative to our request. 

A good dining experience with excellent service. The team worked very closely together, attending to all of our needs. 

Special thanks to..."
Kampachi Plaza33,878373373,2023-02-12 00:00:00,February 2023,windiyaa,1 review,5,Company dinner,"many variant of food with good taste.
I love the scallops, sushi, and the icecream. Also the have freeflow beer with good quality."
Kampachi Plaza33,878356018,2023-02-12 00:00:00,February 2023,tansvenni,1 review,5,had a great time,went there for company dinner and had a great time. food was good. a lot of variety. staffs are friendly too. price is at a higher side but you get top tier food and service with that so all is well.
Kampachi Plaza33,878338927,2023-02-12 00:00:00,February 2023,DaphneW10,1 review,5,Lunch buffet,"Service is amazing, very attentive. Spread is good and fresh. Worth the price. Would definitely recommend"
Kampachi Plaza33,878141088,2023-02-10 00:00:00,February 2023,bravoj2023,1 review,5,Executive,"Good and nice food. 
Some seafood can be improved on the freshness. But overall it is a good place for business or family event."
Kampachi Plaza33,878140980,2023-02-10 00:00:00,February 2023,AndersonAlexander13,1 review,5,CNY DINNER,Good service from JR and food.I really like the beer and food especially the beer which is suntory.Thank you. So much
Kampachi Plaza33,878140968,2023-02-10 00:00:00,February 2023,malaeembi,1 review,5,Company dinner,"Tq jenny & cristy for the services. We will come back again. Have a nice day.. yeayyyyyy
I won lucky draw here.huhhuhuhuuuuuuuuuu"
Kampachi Plaza33,878140898,2023-02-10 00:00:00,February 2023,naimahfauzii,1 review,5,Company Event,"Very good food, thank you Jenny, Christy & JR and the team for helping organize the event so success! My boss so happy, thank you so much and we will come again!"
Kampachi Plaza33,878140682,2023-02-10 00:00:00,February 2023,Wilsonmooyoong,1 review,5,Nice place for company event,"Good food and has large variety of food selection such as sashimi. Good service from JR. 

A lot of free beers as well"
Kampachi Plaza33,877614619,2023-02-06 00:00:00,February 2023,GCY85,1 review,5,Excellent service with delicious food.,Excellent service and recommendations by our server Ms Chyler. Short waiting time for food with nice presentation and delicious
Kampachi Plaza33,877608755,2023-02-06 00:00:00,February 2023,Priscilla T,2 reviews,5,Sons birthday lunch,"Had a lovely lunch in kampachi yesterday. Shaha and Zul who attended to our table was very polite, courteous and efficient.  Thank you Christy, Jenny, Ashen, Shahar, Zulu and team for making my sons birthday most memorable. Highly recommend kampachi 33 for their great staff..."
Kampachi Plaza33,877480183,2023-02-05 00:00:00,February 2023,BatteryMp4,1 review,5,Great food great service.,"The food was superb, especially the scallops. There are many variations to choose from. The service was great as well."
Kampachi Plaza33,877103876,2023-02-01 00:00:00,February 2023,yiyeong94,1 review,5,A very pleasant experience and tip-top customer service ! Food is very nice as well !,"First time to Kampachi PJ33. Christy and her team has definitely raised the bar of customer service. 

Food - receiving good feedback from my group of diners. I personally had Teppan Seafood - fresh ingredients and its very nice !

Overall - recommended to pre-book..."
Kampachi Plaza33,876372936,2023-01-26 00:00:00,January 2023,Clobster92,1 review,5,Kampachi plaza 33,"Went to Kampachi plaza 33 for company annual lunch buffet. Overall experience is good from booking onwards. Was served by Christy and she will sent a reminder for your bookings. 

Upon arriving, kampachi is actually quite clean and comfortable. Most importantly it's spacious enough so..."
Kampachi Plaza33,876363767,2023-01-26 00:00:00,January 2023,DWTK23,1 review,5,Good place to chill,"Been to Kampachi PJ33 branch twice. Loved this branch’s ambiance and good service by JR.
Suitable for those who likes peaceful and relaxing area"
Kampachi Plaza33,876353687,2023-01-26 00:00:00,January 2023,JJTYGG,1 review,5,CNY dinner,"A fine dining Japanese restaurant that lives up to its name. Food is amazing with beautiful plating and   restaurant has an elegant ambience that adds to the experience. The serving time is appropriate, not too long wait or rushed between dishes. 

Service is perfect and..."
Kampachi Plaza33,876281527,2023-01-25 00:00:00,January 2023,h_tj10,1 review,5,Great service and food,"The wait Luthfi was very attentive to our table. Food was amazing, we had Tendon & Cold Soba. I’d visit again 😊"
Kampachi Plaza33,876281359,2023-01-25 00:00:00,January 2023,rosmenari,1 review,5,Good service!,Service and food was amazing. The waiters gave excellent service! Food was great. Great ambience. Love this place!
Kampachi Plaza33,876037559,2023-01-23 00:00:00,January 2023,DoraMTan,1 review,5,Great selection of food and attentive service,We had a great experience at Kampachi Jaya 33 with excellent service from the team. The food was fresh and constantly topped up. Special mention to Edward who was attentive to my elderly parents and children. He made a special pancake for my child after...
Kampachi Plaza33,875904254,2023-01-22 00:00:00,January 2023,Darren1491,2 reviews,5,Happy CNY,"Happy New Year 2023
Very Great Food and Nice services at here.
Recommand Japanese Food and Restaurant"
Kampachi Plaza33,875901433,2023-01-22 00:00:00,January 2023,joelcW9901BH,1 review,5,Services,"April who served our table was amazing. Always attended to our needs and making sure we are comfortable. Great food, great atmosphere."
Kampachi Plaza33,875901256,2023-01-22 00:00:00,January 2023,jennyfong14,2 reviews,5,Chor Yat Lunch Buffet with Fam,Came here for the buffet. All the food are served fresh and a waitress named April has been very attentive to our needs. Had a rather pleasant experience here with my family. Will definitely come back again for more. ☺️
Kampachi Plaza33,875367945,2023-01-17 00:00:00,January 2023,Stephanie930424,1 review,5,Company Annual Dinner,"We having our company annual dinner here on last week , the food is very delicious and fresh , the service is great and fantastic, they will try to fulfils whatever our request , thanks for the service and we will revisit again"
Kampachi Plaza33,875262974,2023-01-16 00:00:00,January 2023,mlsm90,2 reviews,5,Great place for catch up,"I was contemplating a place for good dinner and nice ambience to have quality conversation over meal, and I do not regret choosing Kampachi. It was a very pleasant experience. Service was impeccable. Christy and her team provided top notch service, and was very attentive..."
Kampachi Plaza33,875241535,2023-01-16 00:00:00,January 2023,Toan T,11 reviews,5,Excellent place for Japanese foods,"My wife and I have been here a few times and we were always pleased with the service and quality and selection of foods, especially the sashimi. They are so fresh that feel like just off the boat. The service is always attentive and great..."
Kampachi Plaza33,874819605,2023-01-12 00:00:00,January 2023,cutieivy,1 review,5,Cooperate lunch,"Very good food and service from Jenny & Christy, JR, Zul. Thanks the team to make the event success."
Kampachi Plaza33,874591503,2023-01-10 00:00:00,January 2023,mahizulk,1 review,5,Excellence experience,"I was very impressed with the service and the menu. They offered halal sauce to marinated/dipping sauce to soup. I am impressed. Food spread is everything that I imagined, but the service added so much value to the experience. Clean and polite. I was carrying..."
Kampachi Plaza33,874388297,2023-01-08 00:00:00,January 2023,eugeniewong14,1 review,5,Great Dinner,"Had my anniversary dinner at Kampachi Plaza 33. Enjoy the food that we ordered especially the Maguro Nagaimo Yukke. Staff is friendly and attentive, shout out to JR, Zul and Edward! Love the complimentary anniversary dessert - matcha pudding! Smooth and flavourful! Would love to..."
Kampachi Plaza33,874360788,2023-01-08 00:00:00,January 2023,colinhookham,1 review,5,Sunday Brunch at Kampachi,"We organised my daughters birthday lunch at Kampachi Jaya 33 with their Sunday Lunch Buffet. The staff are excellent (especially Jenny), the food is superb and great value. As always a truly superb experience and we highly recommend for any occasion!"
Kampachi Plaza33,873499442,2023-01-01 00:00:00,January 2023,EddieC465,2 reviews,5,Omakase Dinner,Very fresh. The appetiser was flavourful with three distinct small eats and flavours. Service was attentive although the restaurant was 100% booked. Was given a private room to celebrate my wife's birthday.  Came with a birthday surprise too!
Kampachi Plaza33,872782877,2022-12-26 00:00:00,December 2022,Ismail T,44 reviews,5,Best Japanese Buffet,Great service at Kampachi Plaza 33. Food was amazing in quality. Everyone there went out of their way to make you feel comfortable. Christy and Nathan are stars! Look for them for an extremely pleasant experience. Will definitely go back.
Kampachi Plaza33,872726412,2022-12-25 00:00:00,December 2022,Saraliews,2 reviews,5,Fantastic Christmas Lunch Buffet,"Excellent ingredient as expected and impeccable service As always, this time by JR who is attentive, and knowledgeable. Truly amazing."
Kampachi Plaza33,872658790,2022-12-24 00:00:00,December 2022,tushen00,1 review,5,Excellent Service,"Their staff, Christy was very thoughtful and patient throughout the whole coordination and preparation process for my gf’s birthday."
Kampachi Plaza33,872053076,2022-12-18 00:00:00,December 2022,Kennethtan16,1 review,5,Buffet lunch,Food was good and quality of ingredients was nice and fresh.  The grilled scallops and prawns was really nice and juicy.  The beef has changed since the last time I came when they were using 'meltique' beef which I prefer more actually. Service was good...
Kampachi Plaza33,872051442,2022-12-18 00:00:00,December 2022,michael_tan2003,2 reviews,5,lunch at kampachi!,"good food and great customer service :) although the food selection isn’t that big, it was still a good experience! also got a free coffee hehe"
Kampachi Plaza33,871965214,2022-12-17 00:00:00,December 2022,friedbananas88,112 reviews,5,Excellent food & service,"Excellent communications from Chyler upon making my reservation. Exceptional, attentive service from her and her team from start to finish, especially the surprise birthday cake at the end. Quality of food at Kampachi top notch as usual; we selected from the special menu set as..."
Kampachi Plaza33,871949887,2022-12-17 00:00:00,December 2022,angselina,1 review,5,Worth as what you pay,"Thank you Christy and the team for the great arrangement and service of our quick lunch this week. Everything was perfect!

If you are having big group, pre-order lunch is advisable to avoid any delays. Christy also reached out to me for the pre-order menu...."
Kampachi Plaza33,871650020,2022-12-14 00:00:00,December 2022,Melissa L,18 reviews,5,Best service from reception and  kitchen to table!,"- had very fresh sashimi
- baked scallop coated with in-house mayo sauce
- make sure you hunt for soft shell crab
- beef teppanyaki was sufficiently bite-able, tasty and tender
- indeed sweeeet potato (typical quality from Japan)
- desert... my photo tells it..."
Kampachi Plaza33,871141685,2022-12-09 00:00:00,December 2022,Michaellim7877,1 review,5,Dinner,Food and service is good. Great services from the team esp from Christy. Would love to come back again. Great job
Kampachi Plaza33,871141542,2022-12-09 00:00:00,December 2022,Andrewkong85,1 review,5,Dinner,"First time having meal here very enjoy, staff friendly and good service, will come here next time have lunch or dinner."
Kampachi Plaza33,871141307,2022-12-09 00:00:00,December 2022,AngelChong18,1 review,5,Excellent,"Recommended Japanese restaurant , waiters are friendly and service is good , thanks for the birthday ice cream cake , will visit again"
Kampachi Plaza33,871141202,2022-12-09 00:00:00,December 2022,Astonwong86,1 review,5,Kampachi Plaza 33,"Good Food, Good Company, Good services, Esp from Christy.  I love my time here. Great ambience as well. Love it."
Kampachi Plaza33,870941872,2022-12-07 00:00:00,December 2022,DebbyOng,1 review,5,Food,"Very good Omakase, very friendly staff, good environment, very attentive, satisfied with the food quality"
Kampachi Plaza33,870940319,2022-12-07 00:00:00,December 2022,Evee P,2 reviews,5,Dinner,This is the second time I had our dinner with boss and my colleague. The food was excellent and service was outstanding! Happened to have surprised birthday celebration due to my birthday was just few days away. The staff prepared the instant birthday card and...
Kampachi Plaza33,870574750,2022-12-04 00:00:00,December 2022,Slayyyyy1,1 review,5,Best service,"Good services, friendly staff nice food good a lot  variety of food . The beef is nice . I like the cold noodles . Nice environment"
Kampachi Plaza33,870570180,2022-12-04 00:00:00,December 2022,matthewnoelf,1 review,5,Top food & sake selection,"Highly recommend kampachi for both a business and happy hour location. World Cup football aside, they have a top notch selection of sashimi, sake, desserts, etc.

Looking forward to next visit."
Kampachi Plaza33,870474440,2022-12-03 00:00:00,December 2022,dcmh89,1 review,5,Great ambience and service!,Came here for our anniversary celebration. Great ambience and a nice place to chill and have a good meal. The waiters and waitresses are very warm and friendly. Special thanks to Chyler and Exequiel for their awesome service :) Kids were given colour pencils and...
Kampachi Plaza33,870407073,2022-12-02 00:00:00,December 2022,pei t,6 reviews,5,Out of the world service and food !,We came here for my mums birthday. The food was really amazing and Christy is absolutely phenomenal. Not only was she attentive before our visit she also wrote a hand written birthday card for my mum. Any employer who hires her has gotten themselves a...
Kampachi Plaza33,870395675,2022-12-02 00:00:00,December 2022,Foo2021,3 reviews,5,Great food great service,"The place has great service and great food.  ICHIBAN 
Jenny and the team did a splendid job.  Great job.  When Japan wins complimentary sake 🥰🥰"
Kampachi Plaza33,870376820,2022-12-02 00:00:00,December 2022,PaulineOng9999,2 reviews,5,43rd Anniversary,"Appreciate Kampachi Plaza 33 PJ, Jenny and Christy gave us a special service for my 43rd Wedding Anniversary celebration. 

We came here in 2013 for our 34th Wedding Anniversary Celebration. Came here with my sister for her birthday celebration on 2/12/2022."
Kampachi Plaza33,870375505,2022-12-02 00:00:00,December 2022,cclim66,1 review,5,Lunch with Friends,"Nice environment, nice & delicious food, good, polite & helpful serving from waitor & waitress especially Jenny Ong. Thumps up."
Kampachi Plaza33,870375395,2022-12-02 00:00:00,December 2022,Camper324755,1 review,5,Lunch at Kampachi,Great lunch in Kampachi with complimentary sake from outlet F&B manager Jenny......excellent service
Kampachi Plaza33,870375340,2022-12-02 00:00:00,December 2022,G5223KEalant,2 reviews,5,Perfect lunch with complementary sake,"We had a wonderful lunch  with complementary sake from F&B Manager,  Jenny Ong, for celebration of Japan world cup victory against Spain. Cheers!"
